accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
3,1,2,1,2,1,"52,37","4,86",3,"3,00","2,94",0,1,0,0,Low
4,1,3,1,1,1,"52,35","4,90",2,"27,00","2,86",0,1,0,0,Medium
2,1,1,2,2,2,"52,37","4,98",2,"13,00","5,79",0,0,1,0,Low
3,1,1,1,2,1,"52,35","4,89",3,"6,00","3,14",1,1,0,0,Low
2,1,1,1,1,1,"52,35","4,93",6,"34,00","3,62",0,0,1,0,Low
2,1,1,1,1,1,"52,38","4,92",2,"4,00","1,28",0,1,0,0,Low
2,1,1,1,1,1,"52,41","4,89",2,"0,00","3,28",0,0,1,0,Low
4,1,3,1,1,1,"52,35","4,93",7,"0,00","4,37",1,1,0,0,Low
3,1,1,1,2,1,"52,39","4,93",3,"13,00","2,26",0,1,0,0,Low
5,2,3,1,4,1,"52,35","4,89",2,"3,00","3,02",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,36","4,89",6,"6,00","2,40",0,1,0,0,Medium
4,1,3,2,4,2,"52,42","4,90",5,"10,00","4,50",0,1,0,0,Medium
4,2,2,1,2,1,"52,36","4,93",3,"13,00","2,95",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,91",2,"1,00","2,46",0,1,0,0,Medium
4,1,2,1,2,1,"52,35","4,85",2,"1,00","4,48",0,1,0,0,Low
2,1,0,1,1,1,"52,38","4,89",2,"113,00","0,68",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,89",3,"1,00","3,06",1,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,78",3,"14,00","8,49",0,0,1,0,Low
2,1,0,1,1,1,"52,34","4,92",4,"9,00","4,59",1,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,90",2,"42,00","0,38",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,85",1,"2,00","3,52",0,0,1,0,Low
2,1,1,1,1,1,"52,38","4,84",3,"18,00","4,19",0,0,1,0,Low
3,1,1,1,2,1,"52,36","4,89",2,"10,00","2,68",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,87",7,"3,00","1,72",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,86",2,"15,00","3,72",0,1,0,0,Low
4,1,1,2,2,2,"52,32","4,95",1,"3,00","7,67",1,0,1,0,Low
4,2,4,2,6,3,"52,37","4,95",4,"6,00","3,40",0,1,0,0,Highest
2,1,2,1,1,1,"52,35","5,00",30,"4,00","7,52",0,1,0,0,Low
8,1,4,3,10,3,"52,36","4,87",2,"28,00","2,65",1,1,0,0,Highest
2,1,1,1,1,1,"52,36","4,78",2,"6,00","8,27",0,0,1,0,Low
3,1,2,1,2,1,"52,39","4,94",2,"0,00","3,33",1,1,0,0,Low
